date,transaction_id,description,category,type,amount,balance
2023-08-15,TX00707,Daily Sales Deposit,Sales Revenue,Credit,652,436988
2023-08-16,TX00708,Daily Sales Deposit,Sales Revenue,Credit,759,437747
2023-08-17,TX00709,Daily Sales Deposit,Sales Revenue,Credit,647,438394
2023-08-18,TX00710,Daily Sales Deposit,Sales Revenue,Credit,809,439203
2023-08-19,TX00711,Daily Sales Deposit,Sales Revenue,Credit,992,440195
2023-08-19,TX00712,Coffee Supplier Payment,COGS,Debit,206,439989
2023-08-20,TX00713,Daily Sales Deposit,Sales Revenue,Credit,812,440801
2023-08-21,TX00714,Daily Sales Deposit,Sales Revenue,Credit,740,441541
2023-08-22,TX00715,Daily Sales Deposit,Sales Revenue,Credit,875,442416
2023-08-23,TX00716,Daily Sales Deposit,Sales Revenue,Credit,760,443176
2023-08-24,TX00717,Daily Sales Deposit,Sales Revenue,Credit,714,443890
2023-08-25,TX00718,Daily Sales Deposit,Sales Revenue,Credit,598,444488
2023-08-26,TX00719,Daily Sales Deposit,Sales Revenue,Credit,740,445228
2023-08-26,TX00720,Coffee Supplier Payment,COGS,Debit,277,444951
2023-08-27,TX00721,Daily Sales Deposit,Sales Revenue,Credit,561,445512
2023-08-28,TX00722,Daily Sales Deposit,Sales Revenue,Credit,502,446014
2023-08-29,TX00723,Daily Sales Deposit,Sales Revenue,Credit,985,446999
2023-08-30,TX00724,Daily Sales Deposit,Sales Revenue,Credit,880,447879
2023-08-31,TX00725,Daily Sales Deposit,Sales Revenue,Credit,828,448707
2023-09-01,TX00726,Daily Sales Deposit,Sales Revenue,Credit,1056,449763
2023-09-01,TX00727,Utility Bill Payment,Operating Expense,Debit,204,449559
2023-09-02,TX00728,Daily Sales Deposit,Sales Revenue,Credit,822,450381
2023-09-02,TX00729,Utility Bill Payment,Operating Expense,Debit,236,450145
2023-09-03,TX00730,Daily Sales Deposit,Sales Revenue,Credit,1108,451253
2023-09-04,TX00731,Daily Sales Deposit,Sales Revenue,Credit,869,452122
2023-09-05,TX00732,Daily Sales Deposit,Sales Revenue,Credit,739,452861
2023-09-06,TX00733,Daily Sales Deposit,Sales Revenue,Credit,1094,453955
2023-09-06,TX00734,Utility Bill Payment,Operating Expense,Debit,223,453732
2023-09-07,TX00735,Daily Sales Deposit,Sales Revenue,Credit,1088,454820
2023-09-07,TX00736,Rent Payment,Operating Expense,Debit,136,454684
2023-09-08,TX00737,Daily Sales Deposit,Sales Revenue,Credit,875,455559
2023-09-09,TX00738,Daily Sales Deposit,Sales Revenue,Credit,1152,456711
2023-09-10,TX00739,Daily Sales Deposit,Sales Revenue,Credit,813,457524
2023-09-11,TX00740,Daily Sales Deposit,Sales Revenue,Credit,923,458447
2023-09-12,TX00741,Daily Sales Deposit,Sales Revenue,Credit,814,459261
2023-09-13,TX00742,Daily Sales Deposit,Sales Revenue,Credit,755,460016
2023-09-14,TX00743,Daily Sales Deposit,Sales Revenue,Credit,739,460755
2023-09-15,TX00744,Daily Sales Deposit,Sales Revenue,Credit,936,461691
2023-09-16,TX00745,Daily Sales Deposit,Sales Revenue,Credit,915,462606
2023-09-17,TX00746,Daily Sales Deposit,Sales Revenue,Credit,867,463473
2023-09-18,TX00747,Daily Sales Deposit,Sales Revenue,Credit,758,464231
2023-09-19,TX00748,Daily Sales Deposit,Sales Revenue,Credit,868,465099
2023-09-20,TX00749,Daily Sales Deposit,Sales Revenue,Credit,744,465843
2023-09-21,TX00750,Daily Sales Deposit,Sales Revenue,Credit,869,466712
2023-09-21,TX00751,Rent Payment,Operating Expense,Debit,254,466458
2023-09-22,TX00752,Daily Sales Deposit,Sales Revenue,Credit,706,467164
2023-09-23,TX00753,Daily Sales Deposit,Sales Revenue,Credit,744,467908
2023-09-24,TX00754,Daily Sales Deposit,Sales Revenue,Credit,1198,469106
2023-09-25,TX00755,Daily Sales Deposit,Sales Revenue,Credit,1125,470231
2023-09-25,TX00756,Maintenance Payment,Operating Expense,Debit,462,469769
2023-09-26,TX00757,Daily Sales Deposit,Sales Revenue,Credit,857,470626
2023-09-27,TX00758,Daily Sales Deposit,Sales Revenue,Credit,781,471407
2023-09-28,TX00759,Daily Sales Deposit,Sales Revenue,Credit,905,472312
2023-09-29,TX00760,Daily Sales Deposit,Sales Revenue,Credit,711,473023
2023-09-29,TX00761,Maintenance Payment,Operating Expense,Debit,323,472700
2023-09-30,TX00762,Daily Sales Deposit,Sales Revenue,Credit,745,473445
2023-10-01,TX00763,Daily Sales Deposit,Sales Revenue,Credit,932,474377
2023-10-02,TX00764,Daily Sales Deposit,Sales Revenue,Credit,922,475299
2023-10-03,TX00765,Daily Sales Deposit,Sales Revenue,Credit,1147,476446
2023-10-04,TX00766,Daily Sales Deposit,Sales Revenue,Credit,862,477308
2023-10-04,TX00767,Bakery Payment,COGS,Debit,173,477135
2023-10-05,TX00768,Daily Sales Deposit,Sales Revenue,Credit,923,478058
2023-10-06,TX00769,Daily Sales Deposit,Sales Revenue,Credit,1111,479169
2023-10-07,TX00770,Daily Sales Deposit,Sales Revenue,Credit,921,480090
2023-10-08,TX00771,Daily Sales Deposit,Sales Revenue,Credit,977,481067
2023-10-09,TX00772,Daily Sales Deposit,Sales Revenue,Credit,1051,482118
2023-10-10,TX00773,Daily Sales Deposit,Sales Revenue,Credit,1023,483141
2023-10-11,TX00774,Daily Sales Deposit,Sales Revenue,Credit,716,483857
2023-10-12,TX00775,Daily Sales Deposit,Sales Revenue,Credit,1100,484957
2023-10-13,TX00776,Daily Sales Deposit,Sales Revenue,Credit,892,485849
2023-10-13,TX00777,Utility Bill Payment,Operating Expense,Debit,219,485630
2023-10-14,TX00778,Daily Sales Deposit,Sales Revenue,Credit,909,486539
2023-10-15,TX00779,Daily Sales Deposit,Sales Revenue,Credit,891,487430
2023-10-16,TX00780,Daily Sales Deposit,Sales Revenue,Credit,903,488333
2023-10-17,TX00781,Daily Sales Deposit,Sales Revenue,Credit,926,489259
2023-10-18,TX00782,Daily Sales Deposit,Sales Revenue,Credit,1159,490418
2023-10-18,TX00783,Bakery Payment,COGS,Debit,494,489924
2023-10-19,TX00784,Daily Sales Deposit,Sales Revenue,Credit,833,490757
2023-10-20,TX00785,Daily Sales Deposit,Sales Revenue,Credit,1115,491872
2023-10-21,TX00786,Daily Sales Deposit,Sales Revenue,Credit,757,492629
2023-10-21,TX00787,Maintenance Payment,Operating Expense,Debit,325,492304
2023-10-22,TX00788,Daily Sales Deposit,Sales Revenue,Credit,703,493007
2023-10-23,TX00789,Daily Sales Deposit,Sales Revenue,Credit,1096,494103
2023-10-24,TX00790,Daily Sales Deposit,Sales Revenue,Credit,970,495073
2023-10-25,TX00791,Daily Sales Deposit,Sales Revenue,Credit,856,495929
2023-10-26,TX00792,Daily Sales Deposit,Sales Revenue,Credit,987,496916
2023-10-26,TX00793,Utility Bill Payment,Operating Expense,Debit,183,496733
2023-10-27,TX00794,Daily Sales Deposit,Sales Revenue,Credit,726,497459
2023-10-28,TX00795,Daily Sales Deposit,Sales Revenue,Credit,1081,498540
2023-10-28,TX00796,Maintenance Payment,Operating Expense,Debit,191,498349
2023-10-29,TX00797,Daily Sales Deposit,Sales Revenue,Credit,720,499069
2023-10-30,TX00798,Daily Sales Deposit,Sales Revenue,Credit,1056,500125
2023-10-31,TX00799,Daily Sales Deposit,Sales Revenue,Credit,961,501086
2023-11-01,TX00800,Daily Sales Deposit,Sales Revenue,Credit,1152,502238
2023-11-02,TX00801,Daily Sales Deposit,Sales Revenue,Credit,956,503194
2023-11-03,TX00802,Daily Sales Deposit,Sales Revenue,Credit,1121,504315
2023-11-04,TX00803,Daily Sales Deposit,Sales Revenue,Credit,1144,505459
2023-11-05,TX00804,Daily Sales Deposit,Sales Revenue,Credit,1196,506655
2023-11-06,TX00805,Daily Sales Deposit,Sales Revenue,Credit,711,507366
2023-11-07,TX00806,Daily Sales Deposit,Sales Revenue,Credit,1191,508557
2023-11-08,TX00807,Daily Sales Deposit,Sales Revenue,Credit,771,509328
2023-11-08,TX00808,Maintenance Payment,Operating Expense,Debit,244,509084
2023-11-09,TX00809,Daily Sales Deposit,Sales Revenue,Credit,1008,510092
2023-11-09,TX00810,Coffee Supplier Payment,COGS,Debit,126,509966
2023-11-10,TX00811,Daily Sales Deposit,Sales Revenue,Credit,1199,511165
2023-11-10,TX00812,Rent Payment,Operating Expense,Debit,448,510717
2023-11-11,TX00813,Daily Sales Deposit,Sales Revenue,Credit,880,511597
2023-11-12,TX00814,Daily Sales Deposit,Sales Revenue,Credit,1077,512674
2023-11-13,TX00815,Daily Sales Deposit,Sales Revenue,Credit,745,513419
2023-11-14,TX00816,Daily Sales Deposit,Sales Revenue,Credit,921,514340
2023-11-14,TX00817,Rent Payment,Operating Expense,Debit,372,513968
2023-11-15,TX00818,Daily Sales Deposit,Sales Revenue,Credit,1039,515007
2023-11-16,TX00819,Daily Sales Deposit,Sales Revenue,Credit,865,515872
2023-11-17,TX00820,Daily Sales Deposit,Sales Revenue,Credit,1143,517015
2023-11-17,TX00821,Coffee Supplier Payment,COGS,Debit,216,516799
2023-11-18,TX00822,Daily Sales Deposit,Sales Revenue,Credit,1043,517842
2023-11-19,TX00823,Daily Sales Deposit,Sales Revenue,Credit,763,518605
2023-11-20,TX00824,Daily Sales Deposit,Sales Revenue,Credit,771,519376
2023-11-21,TX00825,Daily Sales Deposit,Sales Revenue,Credit,1177,520553
2023-11-22,TX00826,Daily Sales Deposit,Sales Revenue,Credit,1065,521618
2023-11-23,TX00827,Daily Sales Deposit,Sales Revenue,Credit,865,522483
2023-11-24,TX00828,Daily Sales Deposit,Sales Revenue,Credit,1000,523483
2023-11-25,TX00829,Daily Sales Deposit,Sales Revenue,Credit,801,524284
2023-11-26,TX00830,Daily Sales Deposit,Sales Revenue,Credit,966,525250
2023-11-27,TX00831,Daily Sales Deposit,Sales Revenue,Credit,787,526037
2023-11-27,TX00832,Bakery Payment,COGS,Debit,175,525862
2023-11-28,TX00833,Daily Sales Deposit,Sales Revenue,Credit,745,526607
2023-11-28,TX00834,Rent Payment,Operating Expense,Debit,179,526428
2023-11-29,TX00835,Daily Sales Deposit,Sales Revenue,Credit,847,527275
2023-11-30,TX00836,Daily Sales Deposit,Sales Revenue,Credit,1123,528398
2023-11-30,TX00837,Coffee Supplier Payment,COGS,Debit,452,527946
2023-12-01,TX00838,Daily Sales Deposit,Sales Revenue,Credit,924,528870
2023-12-01,TX00839,Rent Payment,Operating Expense,Debit,176,528694
2023-12-02,TX00840,Daily Sales Deposit,Sales Revenue,Credit,853,529547
2023-12-03,TX00841,Daily Sales Deposit,Sales Revenue,Credit,893,530440
2023-12-04,TX00842,Daily Sales Deposit,Sales Revenue,Credit,789,531229
2023-12-05,TX00843,Daily Sales Deposit,Sales Revenue,Credit,1197,532426
2023-12-06,TX00844,Daily Sales Deposit,Sales Revenue,Credit,805,533231
2023-12-06,TX00845,Utility Bill Payment,Operating Expense,Debit,404,532827
2023-12-07,TX00846,Daily Sales Deposit,Sales Revenue,Credit,1016,533843
2023-12-08,TX00847,Daily Sales Deposit,Sales Revenue,Credit,1089,534932
2023-12-09,TX00848,Daily Sales Deposit,Sales Revenue,Credit,772,535704
2023-12-09,TX00849,Coffee Supplier Payment,COGS,Debit,140,535564
2023-12-10,TX00850,Daily Sales Deposit,Sales Revenue,Credit,903,536467
2023-12-11,TX00851,Daily Sales Deposit,Sales Revenue,Credit,877,537344
2023-12-12,TX00852,Daily Sales Deposit,Sales Revenue,Credit,783,538127
2023-12-13,TX00853,Daily Sales Deposit,Sales Revenue,Credit,950,539077
2023-12-14,TX00854,Daily Sales Deposit,Sales Revenue,Credit,1158,540235
2023-12-15,TX00855,Daily Sales Deposit,Sales Revenue,Credit,1087,541322
2023-12-16,TX00856,Daily Sales Deposit,Sales Revenue,Credit,721,542043
2023-12-17,TX00857,Daily Sales Deposit,Sales Revenue,Credit,702,542745
2023-12-17,TX00858,Coffee Supplier Payment,COGS,Debit,287,542458
2023-12-18,TX00859,Daily Sales Deposit,Sales Revenue,Credit,713,543171
2023-12-18,TX00860,Rent Payment,Operating Expense,Debit,111,543060
2023-12-19,TX00861,Daily Sales Deposit,Sales Revenue,Credit,1096,544156
2023-12-20,TX00862,Daily Sales Deposit,Sales Revenue,Credit,942,545098
2023-12-21,TX00863,Daily Sales Deposit,Sales Revenue,Credit,754,545852
2023-12-22,TX00864,Daily Sales Deposit,Sales Revenue,Credit,872,546724
2023-12-22,TX00865,Maintenance Payment,Operating Expense,Debit,218,546506
2023-12-23,TX00866,Daily Sales Deposit,Sales Revenue,Credit,882,547388
2023-12-23,TX00867,Coffee Supplier Payment,COGS,Debit,399,546989
2023-12-24,TX00868,Daily Sales Deposit,Sales Revenue,Credit,1153,548142
2023-12-25,TX00869,Daily Sales Deposit,Sales Revenue,Credit,849,548991
2023-12-26,TX00870,Daily Sales Deposit,Sales Revenue,Credit,1011,550002
2023-12-27,TX00871,Daily Sales Deposit,Sales Revenue,Credit,830,550832
2023-12-27,TX00872,Utility Bill Payment,Operating Expense,Debit,342,550490
2023-12-28,TX00873,Daily Sales Deposit,Sales Revenue,Credit,1144,551634
2023-12-28,TX00874,Bakery Payment,COGS,Debit,306,551328
2023-12-29,TX00875,Daily Sales Deposit,Sales Revenue,Credit,1090,552418
2023-12-30,TX00876,Daily Sales Deposit,Sales Revenue,Credit,1049,553467
2023-12-31,TX00877,Daily Sales Deposit,Sales Revenue,Credit,1141,554608
